neighborhood,postal_town,locality,administrative_area_level_1,country,postal_code
Mountain,,Porte,County Galway,Ireland,
Town Lot,,,County Tipperary,Ireland,E34 PD30
Brodeen,,,County Tipperary,Ireland,E34 KC59
Brideswell Commons,Dublin 22,,County Dublin,Ireland,D22 P9Y3
,,Ballinlig,County Westmeath,Ireland,
Ballywaltrin,,Bray,County Wicklow,Ireland,A98 WR94
Drumsallagh,,Glendowan,County Donegal,Ireland,
Monagally West,,Goish,County Waterford,Ireland,
Knocknaheeney,,Cork,County Cork,Ireland,
Astagob,Dublin 20,,County Dublin,Ireland,D20 N225
,Dublin 1,,County Dublin,Ireland,
Rathquarter,,Sligo,County Sligo,Ireland,
,,Dublin,County Dublin,Ireland,D18 RW60
Ballyhennick,,Caherlag,County Cork,Ireland,
Belvelly,,Cobh,County Cork,Ireland,P24 EY49
Rathmines,,Dublin,County Dublin,Ireland,
Cabra East,Dublin 7,,County Dublin,Ireland,D07 T9F4
Moyrath,,Kildalkey,County Meath,Ireland,C15 Y920
Montpelier,,Monkstown,County Dublin,Ireland,A94 X8D3
,,Dublin,County Dublin,Ireland,
Carrigaline West,,Carrigaline,County Cork,Ireland,
Maudlin,,Kells,County Meath,Ireland,A82 R8D7
Stillorgan,,Dublin,County Dublin,Ireland,A94 X227
Schollarstown,,Dublin,County Dublin,Ireland,
Cloughleigh,,Ennis,County Clare,Ireland,
,Dublin 14,,County Dublin,Ireland,D14 CH74
,Dublin 16,,County Dublin,Ireland,
,,Salthill,County Galway,Ireland,
,Dublin 1,,County Dublin,Ireland,D01 E4W9
Road,,Rosses Point,County Sligo,Ireland,F91 YV00
Slievemore,,Clomacow,County Cork,Ireland,
Tonafora,,Ros Geal,County Cork,Ireland,
Ballyvolane,,Cork,County Cork,Ireland,T23 N9P1
Saint Catherine's,Dublin 8,,County Dublin,Ireland,D08 V1K8
,,Gorey,County Wexford,Ireland,Y25 Y2C3
Five Oaks,,Drogheda,County Louth,Ireland,A92 Y27K
Ballyteige,,Watch House Hill,County Wexford,Ireland,
Nevillescourt,,Ballycanew,County Wexford,Ireland,Y25 N672
Island Upper,,An Toileán,County Wexford,Ireland,
Knockanree Upper,,Avoca,County Wicklow,Ireland,Y14 HR83
Douglas,,Cork,County Cork,Ireland,T12 K2CN
,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D06 H9Y9
Carrigtishane,,Rinneen,County Cork,Ireland,
Abbeyfeale West,,Abbeyfeale,County Limerick,Ireland,V94 X6K0
,,,,,
Ramstown Lower,,Guaire,Contae Loch Garman,Ireland,Y25 WT26
,Dublin 3,,County Dublin,Ireland,D03 RK27
,Dublin 7,,County Dublin,Ireland,D07 T3C6
Carpenterstown,,Dublin,County Dublin,Ireland,D15 E1C6
Newlands,Dublin 22,,County Dublin,Ireland,
Corelish East,,Corelish,County Limerick,Ireland,
Kinsealy,,Kinsealy,County Dublin,Ireland,K36 FK63
Ballsbridge,Dublin 4,,County Dublin,Ireland,
Saint Catherine's,Dublin 8,,County Dublin,Ireland,D08 RK22
Saint Kevin's,Dublin 2,,County Dublin,Ireland,D02 XD28
Jordanstown,,Paulstown,County Kilkenny,Ireland,R95 VF57
Knockbrack,,Ballymacandrew,County Kerry,Ireland,
Deansgrange,,Blackrock,County Dublin,Ireland,A94 HN32
Townparks,,,County Laois,Ireland,
,,Dublin,County Dublin,Ireland,A96 N2T7
Dalkey,,Dublin,County Dublin,Ireland,A96 Y397
Ballynaclash,,Ballinaclash,County Waterford,Ireland,
Rolestown East,,Sord,Contae Bhaile Átha Cliath,Ireland,K67 C3H1
Saint Catherine's,Dublin 8,,County Dublin,Ireland,D08 Y1F8
,,Cork,County Cork,Ireland,
,Dublin 8,,County Dublin,Ireland,D08 Y952
,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D14 VK85
Robswalls,,Malahide,County Dublin,Ireland,K36 DT20
Toome,,The Bawn,County Leitrim,Ireland,
Baltimore,,Baltimore,County Cork,Ireland,P81 PK84
Carpenterstown,Dublin 15,,County Dublin,Ireland,D15 X7X6
Temple Bar,Dublin 8,,County Dublin,Ireland,
Orchardstown,,Orchardstown Close,County Waterford,Ireland,
,,Waterford,County Waterford,Ireland,X91 AEK5
,,Waterford,County Waterford,Ireland,X91 T3Y5
Rathmines,Dublin 6,,County Dublin,Ireland,D06 FH92
,,Dublin,County Dublin,Ireland,D12 KD89
Rathmines,,Dublin,County Dublin,Ireland,
Turners Cross,,Cork,County Cork,Ireland,T12 Y1X7
,,Lahinch,County Clare,Ireland,
Cherry Orchard,,Dublin,County Dublin,Ireland,
,,Glenco,County Mayo,Ireland,
Saint Catherine's,Dublin 8,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Rathfarnham,Dublin 6,,County Dublin,Ireland,
Tirnaskea North,,Brown Hill,County Monaghan,Ireland,
,,Dublin,County Dublin,Ireland,D11 RF2D
Priesthouse,Dublin 4,,County Dublin,Ireland,
Priesthouse,Dublin 4,,County Dublin,Ireland,
Peacockstown,Dublin 15,,County Meath,Ireland,D15 PFP3
Montenotte,,Cork,County Cork,Ireland,
Walshestown,,Newbridge,County Kildare,Ireland,W12 P266
Maine South,,Ballinagoul,County Cork,Ireland,
Claureen,,Ennis,County Clare,Ireland,V95 A02A
Inchicore,Dublin 8,,County Dublin,Ireland,D08 CHW6
,,Dún Laoghaire,Contae Bhaile Átha Cliath,Ireland,
Hoddersfield,,Crosshaven,County Cork,Ireland,
Whitehall,Dublin 9,,County Dublin,Ireland,D09 H6P8
Derryvunny,,Dernaskeagh,County Roscommon,Ireland,
Coolroe Lower,,Dooks,County Kerry,Ireland,
Kinsealy,,Malahide,County Dublin,Ireland,
Corporation Lands,,Wicklow,County Wicklow,Ireland,A67 V003
Bryanstown Manor,,Drogheda,County Louth,Ireland,A92 X7DR
,,Trim,County Meath,Ireland,C15 PA99
,,Dublin,County Dublin,Ireland,D07 V348
Ballygagin (Crawford),,Ballygegan,County Waterford,Ireland,
,,Drogheda,County Louth,Ireland,
,,Dublin,County Dublin,Ireland,D12 E5X0
,,Dublin,County Dublin,Ireland,D12 NY16
Oldconnell,,Newbridge,County Kildare,Ireland,W12 R3T6
Magheraclogher,,Bunbeg,County Donegal,Ireland,
Porterstown,Dublin 15,,County Dublin,Ireland,D15 N634
Loughbollard Commons,,Clane,County Kildare,Ireland,W91 N272
Loughaunroe East,,Ballyshrule,County Galway,Ireland,
Carnagh,,Ban Na Cheile,County Wexford,Ireland,
Gully,,Bandon,County Cork,Ireland,
,,Malahide,County Dublin,Ireland,K36 XH94
Douglas,,Cork,County Cork,Ireland,T12 N7X8
Ardshanavooly,,Killarney,County Kerry,Ireland,V93 VPR9
Ballyphehane,,Cork,County Cork,Ireland,T12 P9H7
,,Carrigaline,County Cork,Ireland,P43 RT22
Corporation Lands,,Cavan,County Cavan,Ireland,
Ballyhugh,,Gort,County Galway,Ireland,H91 P89C
,,Carlow,County Carlow,Ireland,R93 R6N3
,,Dublin,County Dublin,Ireland,D16 W727
Rinn,,Collooney,County Sligo,Ireland,F91 A0E7
Fairview,Dublin 3,,County Dublin,Ireland,
Balbriggan,,Balbriggan,County Dublin,Ireland,
Mullystaghan,,Mullinastoghen,County Meath,Ireland,
,,Waterford,County Waterford,Ireland,
,,Galway,County Galway,Ireland,H91 YTX0
,,Dublin,County Dublin,Ireland,D17 C984
Great Island,,Ballincollig,County Cork,Ireland,P31 FN23
Corbally,,Limerick,County Limerick,Ireland,V94 VXF7
Curragh,,,County Cork,Ireland,
Donaghmede,Dublin 5,,County Dublin,Ireland,D05 Y8W7
Rotunda,Dublin 1,,County Dublin,Ireland,D01 F5C9
Clonroad More,,Ennis,County Clare,Ireland,
,,Ennis,County Clare,Ireland,
,,Waterford,County Waterford,Ireland,X91 PWD8
Cornerpark,,Newcastle,County Dublin,Ireland,D22 YT67
Common,,Clane,County Kildare,Ireland,W91 NF86
Monread South,,Naas,County Kildare,Ireland,W91 H36W
,,Dublin,County Dublin,Ireland,D02 V596
Demesne,,Newmarket,County Cork,Ireland,P51 V5Y0
Cloghabrody,,Thomastown,County Kilkenny,Ireland,R95 C7Y7
,,Killinierin,County Wexford,Ireland,Y25 FD45
,,Dabhach Uisce,Contae na Gaillimhe,Ireland,
Blackrock,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Sleveen,,Kinsale,County Cork,Ireland,
Blakestown,Dublin 15,,County Dublin,Ireland,D15 VXF8
Charterschool Land,,Kilkenny,County Kilkenny,Ireland,R95 W1D0
Nenagh North,,Nenagh,County Tipperary,Ireland,E45 XR65
Gibraltar,Dublin 22,,County Dublin,Ireland,D22 F6D0
Townparks,,Kells,County Meath,Ireland,A82 T8X9
Honeypark,,Sallynoggin,County Dublin,Ireland,A96 TD81
Yellowmeadows,Dublin 22,,County Dublin,Ireland,D22 P5X5
Townparks,,Skerries,County Dublin,Ireland,K34 E224
Cartron,,Sligo,County Sligo,Ireland,F91 W8K3
Moortown,,Aclare,County Kildare,Ireland,
Clontarf East,Dublin 5,,County Dublin,Ireland,D05 YR64
,,Dublin,County Dublin,Ireland,
,Dublin 16,,County Dublin,Ireland,
Ratass,,Tralee,County Kerry,Ireland,V92 HE0F
,,Galway,County Galway,Ireland,H91 K61K
Moys,,Killaloe,County Clare,Ireland,
Illaunrossalough,,Cool Lodge,County Galway,Ireland,
Stereame,,Nenagh,County Tipperary,Ireland,E45 TE29
Ballymanaggin,Dublin 22,,County Dublin,Ireland,D22 FY50
,,Dublin,County Dublin,Ireland,D18 X275
Town Lot,,,County Tipperary,Ireland,E34 CY27
Branganstown,,,County Kildare,Ireland,
,,Dublin,County Dublin,Ireland,
,,Carrigaline,County Cork,Ireland,P43 HN60
Dublin Docklands,,Dublin,County Dublin,Ireland,
Gouldavoher,,Limerick,County Limerick,Ireland,V94 V26X
,,Dublin,County Dublin,Ireland,D11 X0N8
Archdeaconry Glebe,,Kells,County Meath,Ireland,A82 E5Y2
Drumbiggil,,Ennis,County Clare,Ireland,V95 T6CX
Maynooth South,,Maynooth,County Kildare,Ireland,W23 W8W7
Priesthouse,,Blackrock,County Dublin,Ireland,A94 Y585
Townparks,,Birr,County Offaly,Ireland,R42 XP59
Seefin,,Birr,County Offaly,Ireland,R42 DP65
,,Cork,County Cork,Ireland,T12 HK0F
Lagavooren,,Drogheda,County Louth,Ireland,A92 W7PF
Killeen,,Cragmoher,County Clare,Ireland,
,Dublin 20,,County Dublin,Ireland,D20 ND76
Lagavooren,,Drogheda,County Louth,Ireland,A92 W25H
Frenchfort,,Riverside,County Galway,Ireland,
,,Passage West,County Cork,Ireland,T12 TDC3
Monasterevin,,Monasterevin,County Kildare,Ireland,W34 P920
Saint Kevin's,Dublin 8,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
,Dublin 4,,County Dublin,Ireland,D04 DE93
Downtown Drogheda,,Drogheda,County Louth,Ireland,
,,Cork,County Cork,Ireland,T12 R59X
Bawnoges,Dublin 22,,County Dublin,Ireland,D22 R8N1
Drumherrish,,Drumgola Wood,County Cavan,Ireland,H12 Y796
Kilmainham,Dublin 10,,County Dublin,Ireland,
Drummindoo,,Lower Drummindoo,County Mayo,Ireland,
Rhebogue,,Limerick,County Limerick,Ireland,V94 XPA8
Townparks,,Midleton,County Cork,Ireland,
,,,County Cork,Ireland,
Smithfield,Dublin 7,,County Dublin,Ireland,D07 TD36
Donadea,Naas,,County Kildare,Ireland,
Ballybough,Dublin 3,,County Dublin,Ireland,D03 PF24
Lagavooren,,Drogheda,County Louth,Ireland,A92 HH3F
Killinardan,Dublin 24,,County Dublin,Ireland,D24 P6Y0
Ballinatray Upper,,Riverchapel,County Wexford,Ireland,Y25 PX53
,Dublin 24,,County Dublin,Ireland,D24 V9V9
,Baile Átha Cliath 16,,County Dublin,Ireland,D16 P389
Gowran,,Gowran,County Kilkenny,Ireland,R95 W504
Friarland,,Dublin 14,County Dublin,Ireland,D14 KW31
,Dublin 4,,County Dublin,Ireland,D04 A253
Kilcolman,,Ballaghaderreen,County Roscommon,Ireland,F45 YP63
Drumroosk West,,Donegal,County Donegal,Ireland,F94 W3C6
Killincarrig,,Greystones,County Wicklow,Ireland,
Ballinteer,Dublin 16,,County Dublin,Ireland,D16 HW70
,,Dublin,County Dublin,Ireland,D17 YF38
Clontarf,Dublin 3,,County Dublin,Ireland,D03 P2R0
Sallins,,Sallins,County Kildare,Ireland,W91 TV34
Donaghmede,Dublin 5,,County Dublin,Ireland,D05 EH48
Saint Catherine's,Dublin 8,,County Dublin,Ireland,
Knocknamoe,,Abbeyleix,County Laois,Ireland,
,Dublin 24,,County Dublin,Ireland,D24 H7N0
,,Galway,County Galway,Ireland,
Moneymore,,Drogheda,County Louth,Ireland,A92 THF5
Dublin Docklands,Dublin 1,,County Dublin,Ireland,
,,Cork,County Cork,Ireland,T12 F40K
,,Dublin,County Dublin,Ireland,A96 YX38
Pembroke,,Passage West,County Cork,Ireland,T12 XHE9
,,Watergrasshill,County Cork,Ireland,T56 A727
Rathmines Little,Dublin 14,,County Dublin,Ireland,D14 KF61
,,Dublin,County Dublin,Ireland,D14 K120
Crobally Lower,,Tramore,County Waterford,Ireland,X91 DK23
Clashanure,,Ovens,County Cork,Ireland,P31 F596
Moraghy,,Castleblayney,County Monaghan,Ireland,
,Dublin 11,,County Dublin,Ireland,D11 X0F8
Slippery Green,,Wexford,County Wexford,Ireland,
Curryhills,,Prosperous,County Kildare,Ireland,W91 Y2D1
Deanscurragh,,Longford,County Longford,Ireland,N39 W8Y7
Drommahane,,Mallow,County Cork,Ireland,P51 TW22
,,Dublin,County Dublin,Ireland,D18 A098
,,Galway,County Galway,Ireland,H91 H32N
Houseland,,Fethard,County Wexford,Ireland,Y34 E208
Pondfields,,New Ross,County Wexford,Ireland,Y34 E024
New Ross,,New Ross,County Wexford,Ireland,Y34 YK33
Ballynoe,,Cobh,County Cork,Ireland,P24 XC44
Meakstown,Dublin 11,,County Dublin,Ireland,D11 DF77
Ballyphehane,,Cork,County Cork,Ireland,T12 F5C9
Friarsquarter West,,Ballinrobe,County Mayo,Ireland,
Dún Laoghaire,,Dublin,County Dublin,Ireland,A96 HW25
Ballalease West,,Donabate,County Dublin,Ireland,K36 W611
Kylebeg,,Chute Hall,County Kerry,Ireland,
Mell,,Drogheda,County Louth,Ireland,A92 A3VY
Donaghmede,Dublin 5,,County Dublin,Ireland,D05 V3F9
Rinn,,Collooney,County Sligo,Ireland,
Mount Oval,,Cork,County Cork,Ireland,T12 YD5E
Gortnahoo,,Gortnahoe,County Tipperary,Ireland,E41 V2T6
,,Dublin,County Dublin,Ireland,
,Dublin 18,,County Dublin,Ireland,D18 P298
Gortlandroe,,Nenagh,County Tipperary,Ireland,E45 RR72
Droughill,,Portarlington,County Laois,Ireland,R32 DP20
Bolton,,Bolton Woods,County Kilkenny,Ireland,R95 AE42
Ballyneale,,Ballykennedy,County Limerick,Ireland,
Amorset,,Manorhamilton,County Leitrim,Ireland,F91 W1C0
,,Oughterard,County Galway,Ireland,
Greencloyne,,Youghal,County Cork,Ireland,P36 Y658
Monksland,,Athlone,County Roscommon,Ireland,N37 RR64
Whitehall,Dublin 12,,County Dublin,Ireland,D12 RW54
Simmonstown,,Celbridge,County Kildare,Ireland,W23 DY64
Oldcourt,,Bray,County Wicklow,Ireland,A98 W959
Moanacurragh,,Carlow,County Carlow,Ireland,R93 K1E2
Bremore,,Balbriggan,County Dublin,Ireland,K32 TV05
Lusk,,Lusk,County Dublin,Ireland,K45 V293
,,Dublin,County Dublin,Ireland,D13 X961
Balgaddy,,Lucan,County Dublin,Ireland,K78 PF84
Kingstown,Dublin 16,,County Dublin,Ireland,D16 YH60
Lawcus,,Stoneyford,County Kilkenny,Ireland,R95 XH39
Dublin Docklands,Dublin 1,,County Dublin,Ireland,
Ballyverroge,,Ballyverroge Upper,County Wexford,Ireland,
Portobello,Dublin 8,,County Dublin,Ireland,D08 H6P3
Lismonaghan,,Letterkenny,County Donegal,Ireland,F92 A6W4
,,,County Donegal,Ireland,
,Dublin 5,,County Dublin,Ireland,D05 A2P6
Leixlip Demesne,,Leixlip,County Kildare,Ireland,W23 P7W2
Ballsbridge,Dublin 4,,County Dublin,Ireland,D04 N2E4
Ballygate,,Whitehall,County Roscommon,Ireland,
Sleveen,,Kill,County Waterford,Ireland,
Cullenagh,,Ballina,County Tipperary,Ireland,V94 R9A0
Balleeshal,,Aughrim,County Wicklow,Ireland,Y14 CK68
Killegland,,Ashbourne,County Meath,Ireland,A84 D599
,,Bruhenny,County Cork,Ireland,
Cappaghcreen,,Commons Upper,County Meath,Ireland,
Nenagh North,,Nenagh,County Tipperary,Ireland,E45 DD58
,Dublin 12,,County Dublin,Ireland,D12 Y8C4
,Dublin 18,,County Dublin,Ireland,D18 D7T6
Commons East,,Kilcock,County Kildare,Ireland,W23 FX48
Carlow,,Carlow,County Carlow,Ireland,R93 C1W0
Scart,,Roscrea,County Tipperary,Ireland,E53 CP82
Scart,,Roscrea,County Tipperary,Ireland,E53 RX36
Townparks,,Athy,County Kildare,Ireland,R14 VY01
Gortlandroe,,Nenagh,County Tipperary,Ireland,E45 XW94
Ashfield,,Drogheda,County Louth,Ireland,A92 FHT3
Marshes Upper,,Dundalk,County Louth,Ireland,A91 KF7A
Marshes Upper,,Dundalk,County Louth,Ireland,A91 FHH0
Moraghy,,Castleblayney,County Monaghan,Ireland,A75 X967
Charterschool Land,,Kilkenny,County Kilkenny,Ireland,R95 Y7W7
Killetra,,Mallow,County Cork,Ireland,
Ratoath,,Ratoath,County Meath,Ireland,A85 PK03
Parslickstown,,Clonee,County Dublin,Ireland,D15 NX2H
Curraghtown,,The Lotts,County Meath,Ireland,
,,Dublin,County Dublin,Ireland,D03 TN82
Moorfield,,Newbridge,County Kildare,Ireland,W12 RD26
Yellowbatter,,Drogheda,County Louth,Ireland,A92 FEX7
Balleelaghan,,Drumagee,County Donegal,Ireland,
,Dublin 12,,County Dublin,Ireland,D12 W4A3
Trotts,,Enniscrone,County Sligo,Ireland,F26 A251
,,Dublin,County Dublin,Ireland,
Dromatimore,,Aghabullogue,County Cork,Ireland,
,,Dublin,County Dublin,Ireland,D24 HC57
Monaneea,,Moonamean,County Waterford,Ireland,
Churchtown Lower,Dublin 14,,County Dublin,Ireland,D14 ET35
Donacarney Great,,Castlemartin,County Meath,Ireland,A92 T9C9
Corbally,,Limerick,County Limerick,Ireland,V94 F5KW
Huntstown,,Dublin,County Dublin,Ireland,D15 F76R
,Dublin 11,,County Dublin,Ireland,D11 XHE4
,Dublin 18,,County Dublin,Ireland,
Lisanisk,,Carrickmacross,County Monaghan,Ireland,A81 EE03
Whitechurch,,Whitechurch,County Cork,Ireland,T34 PV08
Blackrock,,Cork,County Cork,Ireland,T12 R7W6
Loughvella,,Ennis,County Clare,Ireland,V95 WVX9
Drumcar,,Mullincross,County Louth,Ireland,
Rathgoggan Middle,,Rathgoggin,Contae Chorcaí,Ireland,P56 HR12
Commons,,Mullingar,County Westmeath,Ireland,N91 T2Y2
Cloghlucas South,,Cloghlucas,County Cork,Ireland,
Crosshaven,,,County Cork,Ireland,P43 HP23
Crosshaven,,,County Cork,Ireland,P43 RC65
Glasheen,,Cork,County Cork,Ireland,T12 K1C0
,,Limerick,County Limerick,Ireland,
Killeen,,Newvillage,County Galway,Ireland,
Cruicerath,,Donore,County Meath,Ireland,A92 V2Y0
Clonard Little,,Wexford,County Wexford,Ireland,Y35 X5RW
Cloonoolia South,,Clonamirran,County Clare,Ireland,
Gortnacross,,Cappalusk,County Galway,Ireland,
Cooltederry,,Portarlington,County Laois,Ireland,R32 E2R3
Castle Demesne,,Newcastle West,County Limerick,Ireland,V42 E400
Oldtown Demesne,,Naas,County Kildare,Ireland,W91 F83K
Stonylane,,Ardee,County Louth,Ireland,A92 AW90
,,Dublin,County Dublin,Ireland,
,Dublin 18,,County Dublin,Ireland,
Liscannor,,Lower Quay,County Clare,Ireland,
,,Dublin,County Dublin,Ireland,D03 DW20
Bookeen,,Cloongowna,County Galway,Ireland,
Knockatee,,Ballyhaise,County Cavan,Ireland,
,,Cork,County Cork,Ireland,T23 YTE2
Deansgrange,,Blackrock,County Dublin,Ireland,A94 Y497
Kilbarrack Lower,Dublin 13,,County Dublin,Ireland,D13 R9H2
,,Dublin,County Dublin,Ireland,D13 W9R9
,,Waterford,County Waterford,Ireland,X91 C8DR
Kilclaran,,Feakle,County Clare,Ireland,
Schollarstown,Dublin 16,,County Dublin,Ireland,D16 X5F7
Milltown,,Ashbourne,County Meath,Ireland,A84 TX48
Knocklyon,Dublin 16,,County Dublin,Ireland,D16 N1W8
Ballyspellane South,,Ballyspellane,County Tipperary,Ireland,
,,Roscam,County Galway,Ireland,H91 VE4Y
Grange South,,Mullingar,County Westmeath,Ireland,N91 K00A
Knockahaw,,Longford,County Longford,Ireland,N39 Y8N3
Knockavrogeen West,,Knockavrogeen,County Kerry,Ireland,
Oldcourt,,Bray,County Wicklow,Ireland,A98 E1V7
Monasterevin,,Monasterevin,County Kildare,Ireland,W34 NC44
Scart,,Coolatour,County Cork,Ireland,
Stamullin,,Stamullin,County Meath,Ireland,K32 R126
Dalkey,,Dalkey,County Dublin,Ireland,A96 CX85
Pollroebuck,,Loughrea,County Galway,Ireland,H62 T021
Killybegs,,Prosperous,County Kildare,Ireland,W91 K5X5
Sallins,,Sallins,County Kildare,Ireland,W91 EV38
,,Dublin,County Dublin,Ireland,D06 N2V6
Effelstown,,Lusk,County Dublin,Ireland,
Ballyroan,Dublin 16,,County Dublin,Ireland,D16 Y9P1
Cabinteely,,Cabinteely,County Dublin,Ireland,
Quinville South,,Quin,County Clare,Ireland,V95 Y77D
Kenmare,,Kenmare,County Kerry,Ireland,V93 YHP6
Drimeen,,Goatsbridge,County Kilkenny,Ireland,
Manorhamilton,,,County Leitrim,Ireland,
Dromavrauka,,Loo Bridge,County Kerry,Ireland,
,Dublin 4,,County Dublin,Ireland,D04 KA48
Townparks,,Skerries,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D14 DW65
,Dublin 10,,County Dublin,Ireland,
Maynooth,,Maynooth,County Kildare,Ireland,
Kilcloghans,,Tuam,County Galway,Ireland,H54 YC86
Dún Laoghaire,,Dublin,County Dublin,Ireland,A96 XY04
,,Dublin,County Dublin,Ireland,D04 R3W8
Portobello,Dublin 8,,County Dublin,Ireland,D08 P84W
Glencar Irish,,Letterkenny,County Donegal,Ireland,F92 NY3K
Rotunda,Dublin 1,,County Dublin,Ireland,
Pembroke,,Pembroke Wood,County Cork,Ireland,T12 A3NP
Srah,,Tullamore,County Offaly,Ireland,R35 R9C7
Blackrock,,Dublin,County Dublin,Ireland,
Gorey corporation lands,,Gorey,County Wexford,Ireland,Y25 DY06
Blackwood,,Blackwood,County Kildare,Ireland,
Clogagh North,,Clogagh,County Cork,Ireland,P72 T622
Balgaddy,,Lucan,County Dublin,Ireland,K78 TH92
Glebe,,Lucan,County Dublin,Ireland,K78 AX61
Deerpark East,,Westport,County Mayo,Ireland,F28 WF96
Drumahaire,,Rock Valley,County Leitrim,Ireland,
Farranboley,Dublin 14,,County Dublin,Ireland,D14 WD85
Inchicore,Dublin 8,,County Dublin,Ireland,D08 HNX2
Rathmines,Dublin 6,,County Dublin,Ireland,
Turners Cross,,Cork,County Cork,Ireland,
Athy,,Athy,County Kildare,Ireland,R14 KR88
Burgagery-Lands East,,Clonmel,County Tipperary,Ireland,E91 EP22
Deansgrange,,Blackrock,County Dublin,Ireland,A94 YE98
Ballymachugh,,Derrylusk,County Westmeath,Ireland,
Burgage More,,Blessington,County Wicklow,Ireland,W91 D528
Reask,,Carlanstown,County Meath,Ireland,A82 K6F8
Nurney,,Nurney,County Kildare,Ireland,
,,Swords,County Dublin,Ireland,
Killester,,Ratoath,County Meath,Ireland,
,Dublin 14,,County Dublin,Ireland,D14 XV77
Mornington,,,County Meath,Ireland,A92 C9N3
Cabra West,Dublin 7,,County Dublin,Ireland,D07 E540
Cloontamore,,Cloontaghmore,County Longford,Ireland,
,Dublin 13,,County Dublin,Ireland,D13 F4E9
Rush,,Rush,County Dublin,Ireland,K56 PD82
,Dublin 12,,County Dublin,Ireland,D12 R3K8
Cabra West,,Dublin,County Dublin,Ireland,
Killadysert,,,County Clare,Ireland,
Kilbelin,,Newbridge,County Kildare,Ireland,W12 W309
Finglas South,Dublin 11,,County Dublin,Ireland,D11 R858
Cabra West,Dublin 7,,County Dublin,Ireland,D07 E540
Carlow,,Carlow,County Carlow,Ireland,R93 E9P9
,,Salthill,County Galway,Ireland,
Kilgarvan,,Cobh,County Cork,Ireland,
Crosshaven,,Crosshaven,County Cork,Ireland,P43 FY01
Clontarf,,Dublin,County Dublin,Ireland,
Kilrush,,Kilrush,County Clare,Ireland,V15 DK65
Abbeylands,,Arklow,County Wicklow,Ireland,Y14 FX22
Ballyphehane,,Cork,County Cork,Ireland,T12 W9K8
Douglas,,Cork,County Cork,Ireland,
Roberts Hill,,Kilkenny,County Kilkenny,Ireland,R95 Y2D1
Corrandrum,,Currandrum,County Galway,Ireland,
Glasnevin,Dublin 11,,County Dublin,Ireland,D11 X3W0
Dunmore East,,Henebry's Cross,County Kilkenny,Ireland,
Ballynacorra,,Midleton,County Cork,Ireland,P25 EH30
Longwood,,Longwood,County Meath,Ireland,A83 FC93
Ballintemple,,Cork,County Cork,Ireland,
,,Dublin,County Dublin,Ireland,
,,Rinnaney,County Mayo,Ireland,
Coolcots,,Wexford,County Wexford,Ireland,Y35 K00D
,Dublin 4,,County Dublin,Ireland,D04 H299
Fairyhill,,Portumna,County Galway,Ireland,H53 R704
Ballymun,Dublin 11,,County Dublin,Ireland,D11 YD86
Mylerstown,,Naas,County Kildare,Ireland,W91 E00D
,,Waterford,County Waterford,Ireland,X91 FKX8
,Dublin 17,,County Dublin,Ireland,D17 ED61
,,Swords,County Dublin,Ireland,K67 Y592
Drominahilla,,Millstreet,County Cork,Ireland,P51 E4A7
